air_store_id,mean_visitors,median_visitors,min_visitors,max_visitors,std_visitors
air_00a91d42b08b08d9,26.08189655172414,26.0,1,99,12.435364311712368
air_0164b9927d20bcc3,9.248322147651006,8.0,1,27,6.348979530972588
air_0241aa3964b7f861,9.896464646464647,9.0,1,48,6.214877016513886
air_0328696196e46f18,7.939655172413793,6.0,1,41,6.7338067186056225
air_034a3d5b40d5b1b1,14.828685258964143,12.0,1,116,13.15410711012123
air_036d4f1ee7285390,22.455516014234874,21.0,4,188,14.5905661730666
air_0382c794b73b51ad,23.687919463087248,23.0,1,74,11.642251004483814
air_03963426c9312048,39.34032634032634,36.0,2,119,23.738957706212915
air_04341b588bde96cd,35.87076271186441,34.0,1,119,16.22042410752801
air_049f6d5b402a31b2,11.531007751937985,11.0,1,29,6.431395494581387
air_04cae7c1bc9b2a0b,22.11340206185567,20.0,2,66,12.715895256692233
air_0585011fa179bcce,4.7765567765567765,4.0,1,26,2.7529195487339138
air_05c325d315cc17f5,22.495726495726494,22.0,1,56,9.193260665032184
air_0647f17b4dc041c8,36.42857142857143,35.0,1,90,18.37472094020395
air_064e203265ee5753,21.68918918918919,21.0,1,122,10.460344001259184
air_066f0221b8a4d533,14.310469314079423,12.0,1,55,10.44885744377803
air_06f95ac5c33aca10,22.206982543640898,21.0,1,56,12.237015613383619
air_0728814bd98f7367,9.951276102088167,9.0,1,42,6.801842568103496
air_0768ab3910f7967f,19.89969604863222,13.0,1,99,19.02098407741265
air_07b314d83059c4d2,33.224489795918366,30.0,6,116,16.184641064728417
air_07bb665f9cdfbdfb,29.43421052631579,28.0,1,351,22.257746288059703
air_082908692355165e,40.67289719626168,45.0,1,244,23.76742331971911
air_083ddc520ea47e1e,10.24390243902439,9.0,1,55,7.80767749292787
air_0845d8395f30c6bb,21.96085409252669,20.0,1,63,13.0674854662547
air_084d98859256acf0,14.695833333333333,14.0,1,35,6.893328238089885
air_0867f7bebad6a649,23.113636363636363,18.0,1,83,17.081079694215255
air_08ba8cd01b3ba010,10.366013071895425,10.0,1,24,5.180267777284321
air_08cb3c4ee6cd6a22,15.145328719723183,14.0,1,40,8.856082379769429
air_08ef81d5b7a0d13f,14.070833333333333,13.0,1,38,8.175838429829897
air_08f994758a1e76d4,26.19031141868512,25.0,2,78,15.331129016369616
air_09040f6df960ddb8,12.634361233480176,11.0,1,47,8.48336529024267
air_0919d54f0c9a24b8,43.56837606837607,45.5,2,305,27.235218141641017
air_09661c0f3259cc04,32.74125874125874,33.0,2,71,12.770147912544191
air_09a845d5b5944b01,11.628992628992629,8.0,1,56,10.54931859763131
air_09fd1f5c58583141,6.8111587982832615,6.0,1,23,4.283937012120083
air_0a74a5408a0b8642,31.20532319391635,31.0,2,67,11.95106315298978
air_0b184ec04c741a6a,12.094488188976378,12.0,1,54,7.234529487700826
air_0b1e72d2d4422b20,24.468992248062015,23.0,2,64,13.63479354773786
air_0b9038300f8b2b50,15.263698630136986,13.0,1,58,9.4087579303554
air_0e1eae99b8723bc1,13.88283378746594,13.0,1,41,6.989445957244231
air_0e7c11b9abc50163,26.735159817351597,23.0,6,229,18.63860047968499
air_0ead98dd07e7a82a,19.514492753623188,15.0,1,68,16.568035140805147
air_0f0cdeee6c9bf3d7,26.827715355805243,27.0,1,75,13.598163700991906
air_0f2f96335f274801,8.64935064935065,8.0,1,27,5.028476807575929
air_0f60e1576a7d397d,9.174358974358974,8.0,1,65,7.008857354581056
air_1033310359ceeac1,17.626404494382022,15.0,2,81,11.840645181050274
air_10393f12e9069760,14.85121107266436,14.0,1,50,8.432040842187698
air_105a7954e32dba9b,47.260416666666664,47.0,28,68,7.918756039156585
air_10713fbf3071c361,10.966542750929367,10.0,1,28,5.1589289661185065
air_10bbe8acd943d8f6,31.945205479452056,28.0,1,94,18.543635108856527
air_12c4fb7a423df20d,17.76027397260274,16.5,2,45,9.197567880015827
air_138ee734ac79ff90,7.98992443324937,7.0,1,22,4.102216602628547
air_138ff410757b845f,41.16205533596838,43.0,2,87,20.294885168751236
air_1408dd53f31a8a65,33.516891891891895,29.0,2,101,21.783208860795018
air_142e78ba7001da9c,10.755813953488373,10.0,1,101,6.520428801864015
air_1509881b22965b34,10.756476683937823,9.0,1,60,10.11484943972255
air_152c1f08d7d20e07,13.102409638554217,11.0,1,58,9.522305245514607
air_15ae33469e9ea2dd,12.762931034482758,12.0,1,44,8.22306996708254
air_15e6e15c7ea2c162,22.060714285714287,21.0,1,59,11.301341287659334
air_16179d43b6ee5fd8,9.206896551724139,8.0,1,26,4.496303900813745
air_1653a6c513865af3,32.81367924528302,33.0,2,86,13.180532304168256
air_168441ada3e878e1,41.60409556313993,40.0,3,89,15.014841411782317
